Class,Time,Mean,SE,CI_Lower,CI_Upper
NF,pre-1,-3.017794839,0.084748988,-3.183902857,-2.851686822
BF,pre-1,-2.12887198,0.057314541,-2.24120848,-2.01653548
MF,pre-1,-2.372222026,0.076723431,-2.52259995,-2.221844103
Shurb,pre-1,0.254249091,0.248091416,-0.232010085,0.740508267
Sav,pre-1,-1.228562822,0.013278842,-1.254589352,-1.202536291
Grass,pre-1,-0.936522702,0.015358497,-0.966625356,-0.906420049
NF,post-1,-6.568859162,0.123854293,-6.811613577,-6.326104747
BF,post-1,-3.610053534,0.089536714,-3.785545493,-3.434561575
MF,post-1,-4.139079632,0.118500286,-4.371340193,-3.906819072
Shurb,post-1,-0.094816295,0.447385661,-0.971692191,0.782059601
Sav,post-1,-2.257971018,0.020994642,-2.299120517,-2.21682152
Grass,post-1,-2.205694201,0.024625176,-2.253959546,-2.157428856
NF,post-3,-7.280199981,0.182950963,-7.638783868,-6.921616094
BF,post-3,-4.30360846,0.146683323,-4.591107773,-4.016109147
MF,post-3,-6.069324233,0.196352516,-6.454175165,-5.684473301
Shurb,post-3,-1.770780225,0.675740174,-3.095230966,-0.446329484
Sav,post-3,-3.202880182,0.032702242,-3.266976577,-3.138783788
Grass,post-3,-4.285844981,0.039157893,-4.362594452,-4.209095511
NF,post-5,-8.223954502,0.232778108,-8.680199595,-7.76770941
BF,post-5,-4.882086906,0.184063444,-5.242851257,-4.521322555
MF,post-5,-7.377533857,0.258409468,-7.884016416,-6.871051299
Shurb,post-5,-2.060228839,0.740940419,-3.512472059,-0.607985618
Sav,post-5,-3.499616973,0.040667955,-3.579326165,-3.419907781
Grass,post-5,-6.06461621,0.047464149,-6.157645942,-5.971586478
