,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.3,-0.068953414,-3.974158092,3.836251264,-8.445117361,-17.07277763,0.182542908,-13.89881713,-24.31690183,-3.48073243,-6.893549294,-15.24392162,1.456823035
29.25,-1.313359249,-5.099091526,2.472373029,-10.4408099,-18.77626304,-2.105356767,-15.4006116,-24.42838908,-6.372834117,-7.241979076,-16.24263705,1.758678899
29.2,-1.148647948,-3.472442774,1.175146879,-5.984971254,-13.02150066,1.051558156,-6.156513029,-16.03034343,3.71731737,-13.90695494,-23.26116843,-4.552741459
29.15,-2.275512246,-4.711354287,0.160329795,-6.928585831,-13.65446724,-0.202704419,-5.70365364,-15.57593096,4.168623675,-12.97229911,-22.63445659,-3.310141633
29.1,-4.417422157,-7.374473545,-1.46037077,-8.311066828,-14.03526557,-2.586868084,-9.057238064,-16.37945235,-1.73502378,-0.639415437,-8.856286625,7.57745575
29.05,-2.647815187,-6.218214521,0.922584147,-6.319754125,-12.60938077,-0.030127481,-7.434164549,-14.39002768,-0.478301423,2.849892791,-5.840575775,11.54036136
29,-4.591521846,-9.618682337,0.435638646,-8.429196548,-22.48553228,5.627139187,9.273588305,0.453317385,18.09385923,-11.9439577,-35.12983617,11.24192077
28.95,-6.119810579,-11.40428644,-0.835334718,-10.53996639,-26.22042609,5.140493303,7.831453768,-2.053746501,17.71665404,-18.2036674,-45.97606302,9.568728225
28.9,0.482650543,-2.077558022,3.042859107,2.513196189,-1.462581163,6.48897354,5.568523925,-1.105813734,12.24286158,6.432905411,-1.157670137,14.02348096
28.85,-0.622645941,-3.039480501,1.794188619,1.329139772,-2.419256216,5.07753576,4.296326334,-2.830069169,11.42272184,2.195298195,-4.700317456,9.090913846
28.8,-7.156267105,-12.34452626,-1.968007949,-15.2632193,-25.00178463,-5.524653971,-10.29630415,-18.84834516,-1.744263144,-17.48309553,-27.73208894,-7.234102107
28.75,-4.923003739,-9.400117841,-0.445889638,-12.41613813,-20.95139082,-3.880885445,-10.14673029,-18.47889026,-1.814570318,-15.17813594,-25.84990462,-4.506367267
