"Latitude","Mean","CI_lower","CI_upper"
30,NA,NA,NA
29.95,NA,NA,NA
29.9,NA,NA,NA
29.85,NA,NA,NA
29.8,NA,NA,NA
29.75,NA,NA,NA
29.7,NA,NA,NA
29.65,NA,NA,NA
29.6,NA,NA,NA
29.55,NA,NA,NA
29.5,NA,NA,NA
29.45,NA,NA,NA
29.4,NA,NA,NA
29.35,NA,NA,NA
29.3,-22.5374285697937,-32.8982793393267,-12.1765778002607
29.25,-25.9782856021609,-36.2609661295448,-15.6956050747769
29.2,-21.5451350872581,-30.1715880742245,-12.9186821002918
29.15,-21.1338460942109,-29.1601158804873,-13.1075763079346
29.1,-18.0405880282907,-24.8328946148415,-11.2482814417399
29.05,-17.1474283533437,-23.4110830321905,-10.8837736744969
29,-38.3120000839233,-64.8793543148967,-11.74464585295
28.95,-38.8435721056802,-68.4456025587379,-9.24154165262245
28.9,-11.9168422158415,-17.5893582730895,-6.24432615859359
28.85,-11.381111090313,-15.1830571880624,-7.57916499256353
28.8,-28.1749997217866,-41.4527008052645,-14.8972986383086
28.75,-27.9024998545647,-40.3446581841503,-15.460341524979
28.7,-10.2816326092092,-12.7047076353244,-7.8585575830941
28.65,-10.8299998571706,-13.647626592723,-8.0123731216183
28.6,-16.2834614698703,-24.8826192296172,-7.68430371012345
28.55,-15.8278259298076,-24.818507458454,-6.83714440116116
28.5,-15.1279999693235,-20.3088395371419,-9.94716040150505
28.45,-13.2950000315905,-18.2271044371638,-8.36289562601709
28.4,-16.9110343928995,-23.6763714411993,-10.1456973445996
28.35,-17.5579166164001,-24.7680404713313,-10.3477927614689
28.3,-22.248999844119,-31.3004311060808,-13.1975685821571
28.25,-26.9992306981331,-38.5067109405814,-15.4917504556849
28.2,-29.9269565706668,-45.9157105944541,-13.9382025468795
28.15,-19.8924998581409,-25.4347321249176,-14.3502675913643
28.1,-27.4880487395496,-39.8407638051093,-15.1353336739899
28.05,-17.274210691452,-22.4800932966331,-12.0683280862709
28,-16.0292855075427,-21.0064914923818,-11.0520795227037
27.95,-14.7207499533892,-17.5396169418305,-11.9018829649478
27.9,-26.0172728326623,-38.5897772131928,-13.4447684521319
27.85,-30.9589474522264,-44.352955072566,-17.5649398318867
27.8,-13.6237038175265,-17.522121989309,-9.72528564574403
27.75,-15.4561539928501,-21.2202071133313,-9.69210087236881
27.7,-20.2347725788978,-27.4103402317303,-13.0592049260653
27.65,-22.8456409527705,-30.167280822968,-15.524001082573
27.6,-29.1958695458977,-39.356905032668,-19.0348340591274
27.55,-26.1477552437205,-35.2820984216076,-17.0134120658333
27.5,-25.5342861385572,-37.2445794449519,-13.8239928321626
27.45,-20.9937145233154,-27.5037177295436,-14.4837113170873
27.4,-19.2290741889565,-25.0954203267219,-13.3627280511912
27.35,-24.3783051119012,-32.014481812077,-16.7421284117255
27.3,-18.5354350833222,-27.8222849908514,-9.24858517579305
27.25,-22.2081253207677,-33.8216118282727,-10.5946388132626
27.2,-16.5880357151119,-23.9448750532984,-9.2311963769255
27.15,-16.7373584238988,-24.2198197248458,-9.25489712295181
27.1,-17.9298214114138,-22.817405570793,-13.0422372520346
27.05,-16.3706001287699,-20.7709587860738,-11.9702414714659
27,-16.0672221730153,-22.8917928166902,-9.24265152934037
26.95,-18.3748573507581,-26.010622193038,-10.7390925084783
26.9,-15.2069811091389,-18.9736515220535,-11.4403106962244
26.85,-14.3050000541485,-17.6695138273427,-10.9404862809543
26.8,-18.4537836409904,-24.2068953389091,-12.7006719430716
26.75,-21.1834211412229,-27.4432994166131,-14.9235428658327
26.7,-19.0887035948259,-23.912263515131,-14.2651436745207
26.65,-18.2367742638434,-22.4138849116933,-14.0596636159935
26.6,-23.4879031469745,-31.4985382944409,-15.4772679995081
26.55,-23.2087690151655,-30.5226865223528,-15.8948515079781
26.5,-21.7594340005011,-26.8694100899314,-16.6494579110708
