,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.35,3.950210888,-1.423941474,9.32436325,-6.427977532,-16.36360974,3.507654674,-3.71838377,-16.88229653,9.445528992,-3.559715411,-18.85081451,11.73138369
29.3,2.62029822,-2.072905789,7.313502229,-0.209279224,-11.00674596,10.58818751,2.239688392,-12.92774012,17.4071169,3.706108648,-19.31043215,26.72264945
29.25,-0.776890702,-5.84232795,4.288546546,-7.395551001,-18.92767213,4.136570128,0.715536742,-17.03205497,18.46312846,11.81046298,-7.08475562,30.70568158
29.2,-2.367727682,-7.884652639,3.149197275,-10.1213925,-19.64709746,-0.595687548,-4.160743089,-16.18351353,7.862027351,-12.14429446,-25.55814818,1.269559261
29.15,-2.420626487,-10.68002172,5.838768749,2.594719658,-7.066238871,12.25567819,2.816670215,-8.122947899,13.75628833,7.567712208,-5.218004039,20.35342846
29.1,-0.963734406,-6.732765737,4.805296925,-6.135163475,-13.8489638,1.578636849,-4.508280478,-14.85377916,5.837218207,4.98336607,-7.63336401,17.60009615
29.05,1.299760605,-5.081577696,7.681098906,-4.619385274,-12.40347961,3.164709066,-4.368498087,-17.47122088,8.734224706,3.236881961,-17.51223013,23.98599405
29,-14.6683366,-24.64141206,-4.695261149,-14.10455567,-28.87351219,0.664400847,-5.309085129,-23.49459226,12.876422,-5.705522928,-24.95045108,13.53940522
28.95,-3.145095641,-9.341616055,3.051424773,-1.744737392,-11.39318284,7.903708059,-1.679700902,-16.27014545,12.91074364,-6.590061142,-26.76951221,13.58938992
28.9,1.246093887,-5.60414506,8.096332834,-6.244669142,-19.16075852,6.671420238,17.14431924,4.207075499,30.08156298,23.20026784,10.12330965,36.27722602
28.85,1.844473983,-2.215213676,5.904161641,3.929331897,-4.587382928,12.44604672,0.626137779,-12.87616943,14.12844499,-3.50700293,-18.08831037,11.07430451
28.8,-2.258467979,-8.523759473,4.006823514,-7.264772182,-18.11027505,3.58073069,5.961854699,-10.12802999,22.05173939,13.11296523,-2.981075676,29.20700614
28.75,7.080887812,-1.949808665,16.11158429,-0.766234314,-11.80382811,10.27135948,15.78050623,4.236018336,27.32499413,1.611660944,-15.63315381,18.85647569
