"Latitude","Mean","CI_lower","CI_upper"
30,NA,NA,NA
29.95,NA,NA,NA
29.9,NA,NA,NA
29.85,NA,NA,NA
29.8,NA,NA,NA
29.75,NA,NA,NA
29.7,NA,NA,NA
29.65,NA,NA,NA
29.6,NA,NA,NA
29.55,NA,NA,NA
29.5,NA,NA,NA
29.45,NA,NA,NA
29.4,NA,NA,NA
29.35,-28.5660716284599,-39.4040061849192,-17.7281370720005
29.3,-25.7360711715051,-37.9591695027246,-13.5129728402856
29.25,-25.9066665172577,-36.2312105139737,-15.5821225205417
29.2,-28.3979998181264,-39.335150036384,-17.4608495998688
29.15,-21.2645451602611,-36.6509044765551,-5.87818584396707
29.1,-29.1503126593307,-39.8895115167512,-18.4111138019101
29.05,-17.1683333863815,-25.3276217474654,-9.00904502529749
29,-37.2100006171635,-49.9192903500775,-24.5007108842496
28.95,-25.7688462588076,-33.2030879409669,-18.3346045766484
28.9,-52.5891309302786,-73.0731497660839,-32.1051120944734
28.85,-17.8856666918844,-26.4597896724756,-9.31154371129323
28.8,-37.8553568401507,-49.6993298888343,-26.0113837914671
28.75,-25.3065384809787,-36.6160544456573,-13.9970225163002
28.7,-28.6914997309446,-43.8857491083248,-13.4972503535645
28.65,-32.6156525560047,-47.0352290681669,-18.1960760438426
28.6,-47.93166681793,-70.9960111033533,-24.8673225325067
28.55,-27.5272730859843,-38.8592201756925,-16.1953259962761
28.5,-27.7624998191992,-38.2065731074766,-17.3184265309219
28.45,-36.3696556296842,-53.6224427920891,-19.1168684672793
28.4,-36.9288887182872,-49.0616184252243,-24.79615901135
28.35,-31.9506451968224,-45.8007930583768,-18.1004973352679
28.3,-29.0790623510256,-42.7864018397204,-15.3717228623309
28.25,-23.9725714411054,-31.983753880877,-15.9613890013339
28.2,-36.0546153073127,-52.7576588727783,-19.3515717418471
28.15,-25.23807658513,-38.3961093806664,-12.0800437895937
28.1,-23.8833331743876,-31.9312342948335,-15.8354320539417
28.05,-28.1717647103702,-39.247328206729,-17.0962012140115
28,-30.5703123360872,-43.6163020308474,-17.5243226413271
27.95,-33.1494445817338,-47.730103456351,-18.5687857071166
27.9,-28.0115623231977,-39.9078744890468,-16.1152501573486
27.85,-25.2233330351966,-31.0816936333048,-19.3649724370884
27.8,-28.4190908663652,-37.7813524840371,-19.0568292486933
27.75,-33.1615153662296,-43.9259808062956,-22.3970499261636
27.7,-31.3968966582726,-42.9079510022659,-19.8858423142793
27.65,-20.0819231684391,-28.7107719710868,-11.4530743657915
27.6,-31.9545283857382,-41.7089926570381,-22.2000641144382
27.55,-45.8427658829283,-58.9235814138125,-32.7619503520442
27.5,-44.9897140026093,-61.656158540577,-28.3232694646416
27.45,-36.6320454728874,-47.8065759455958,-25.457515000179
27.4,-33.4891669054826,-43.9478562378125,-23.0304775731528
27.35,-34.1442307692308,-40.981019917277,-27.3074416211846
27.3,-28.328199878931,-35.3701521178143,-21.2862476400478
27.25,-29.7357142014163,-37.417666295962,-22.0537621068706
27.2,-21.7272091511377,-28.6711531805239,-14.7832651217515
27.15,-28.4975436936345,-36.0876985308234,-20.9073888564456
27.1,-26.3054165515738,-32.3634156614073,-20.2474174417403
27.05,-36.9067348466844,-46.4082826041764,-27.4051870891924
27,-34.1133330229557,-47.1745499553778,-21.0521160905336
26.95,-28.3607896942841,-38.2700968027948,-18.4514825857735
26.9,-24.9053569925683,-32.4520176307048,-17.3586963544317
26.85,-24.3351163559182,-31.3708378504,-17.2993948614364
26.8,-28.0871428772807,-36.9294604832211,-19.2448252713403
26.75,-20.330943188015,-25.5209363882923,-15.1409499877378
26.7,-27.4168517528861,-36.1583214655283,-18.6753820402438
26.65,-29.8000003216522,-38.6356759513649,-20.9643246919395
26.6,-37.5248149600294,-46.8018119879846,-28.2478179320742
26.55,-36.2553063825685,-46.7096596244218,-25.8009531407153
