Class,Time,Mean,SE,CI_Lower,CI_Upper
NF,pre-1,-0.38751781,0.097825424,-0.579255642,-0.195779979
BF,pre-1,0.250035353,0.068581665,0.115615291,0.384455416
MF,pre-1,0.734384918,0.104959844,0.528663624,0.940106213
Shurb,pre-1,-0.809967786,0.33598415,-1.468496719,-0.151438852
Sav,pre-1,0.299626768,0.019027276,0.262333307,0.336920229
Grass,pre-1,-0.206846726,0.021002047,-0.248010739,-0.165682713
NF,post-1,-3.410040503,0.155731974,-3.715275172,-3.104805834
BF,post-1,-0.781600717,0.115074533,-1.007146802,-0.556054633
MF,post-1,-0.279348701,0.162075205,-0.597016103,0.038318702
Shurb,post-1,-4.228573612,0.848636441,-5.891901036,-2.565246188
Sav,post-1,-0.615851429,0.029957847,-0.674568809,-0.557134049
Grass,post-1,-1.560645861,0.036827354,-1.632827475,-1.488464247
NF,post-3,-2.641153363,0.223397577,-3.079012614,-2.203294113
BF,post-3,-1.789414185,0.182846603,-2.147793526,-1.431034844
MF,post-3,-0.503314065,0.253278844,-0.999740601,-0.00688753
Shurb,post-3,-10.58081129,1.337361309,-13.20203945,-7.959583122
Sav,post-3,-0.448243675,0.043980367,-0.534445194,-0.362042155
Grass,post-3,-3.811776726,0.058175252,-3.92580022,-3.697753232
NF,post-5,-0.818698328,0.274420755,-1.356563008,-0.280833649
BF,post-5,-1.201799397,0.232102316,-1.656719936,-0.746878858
MF,post-5,0.71164615,0.311877871,0.100365524,1.322926777
Shurb,post-5,-4.229278832,1.571552217,-7.309521178,-1.149036487
Sav,post-5,0.634604339,0.053292361,0.530151311,0.739057368
Grass,post-5,-5.823168441,0.071022787,-5.962373105,-5.683963778
