Date,Raw kNDVI,Wet season
2001/1/1,0.627,
2001/2/1,0.587,
2001/3/1,0.589,
2001/4/1,0.562,
2001/5/1,0.576,
2001/6/1,0.592,
2001/7/1,0.588,
2001/8/1,0.591,
2001/9/1,0.577,
2001/10/1,0.579,
2001/11/1,0.59,
2001/12/1,0.589,
2002/1/1,0.628,
2002/2/1,0.586,
2002/3/1,0.576,
2002/4/1,0.581,
2002/5/1,0.58,
2002/6/1,0.598,
2002/7/1,0.594,
2002/8/1,0.583,
2002/9/1,0.589,
2002/10/1,0.577,
2002/11/1,0.595,
2002/12/1,0.574,
2003/1/1,0.633,
2003/2/1,0.597,
2003/3/1,0.515,
2003/4/1,0.569,
2003/5/1,0.588,
2003/6/1,0.62,
2003/7/1,0.604,
2003/8/1,0.603,
2003/9/1,0.611,
2003/10/1,0.603,
2003/11/1,0.581,
2003/12/1,0.615,
2004/1/1,0.627,
2004/2/1,0.536,
2004/3/1,0.536,
2004/4/1,0.551,
2004/5/1,0.594,
2004/6/1,0.619,
2004/7/1,0.611,
2004/8/1,0.596,
2004/9/1,0.609,
2004/10/1,0.587,
2004/11/1,0.604,
2004/12/1,0.636,
2005/1/1,0.627,
2005/2/1,0.63,
2005/3/1,0.553,
2005/4/1,0.578,
2005/5/1,0.57,
2005/6/1,0.608,
2005/7/1,0.609,
2005/8/1,0.595,
2005/9/1,0.595,
2005/10/1,0.583,
2005/11/1,0.603,
2005/12/1,0.592,
2006/1/1,0.605,1
2006/2/1,0.588,1
2006/3/1,0.595,1
2006/4/1,0.563,1
2006/5/1,0.583,1
2006/6/1,0.582,1
2006/7/1,0.607,1
2006/8/1,0.603,0
2006/9/1,0.608,0
2006/10/1,0.601,0
2006/11/1,0.616,0
2006/12/1,0.6,1
2007/1/1,0.565,1
2007/2/1,0.602,1
2007/3/1,0.578,1
2007/4/1,0.578,1
2007/5/1,0.596,1
2007/6/1,0.589,1
2007/7/1,0.596,1
2007/8/1,0.605,1
2007/9/1,0.602,0
2007/10/1,0.573,0
2007/11/1,0.614,0
2007/12/1,0.584,1
2008/1/1,0.572,1
2008/2/1,0.609,1
2008/3/1,0.602,1
2008/4/1,0.575,1
2008/5/1,0.531,1
2008/6/1,0.568,1
2008/7/1,0.602,1
2008/8/1,0.588,0
2008/9/1,0.581,0
2008/10/1,0.61,0
2008/11/1,0.617,0
2008/12/1,0.594,1
2009/1/1,0.622,1
2009/2/1,0.512,1
2009/3/1,0.563,1
2009/4/1,0.56,1
2009/5/1,0.533,1
2009/6/1,0.538,1
2009/7/1,0.564,1
2009/8/1,0.611,0
2009/9/1,0.616,0
2009/10/1,0.602,0
2009/11/1,0.603,0
2009/12/1,0.582,1
2010/1/1,0.582,1
2010/2/1,0.577,1
2010/3/1,0.569,1
2010/4/1,0.574,1
2010/5/1,0.612,1
2010/6/1,0.607,1
