,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.35,-0.307690367,-2.610699549,1.995318814,-1.451098904,-5.762802122,2.860604315,2.035240417,-3.977306338,8.047787171,-2.890024069,-9.060492689,3.280444551
29.3,-0.647451533,-2.878076963,1.583173897,-3.425438606,-6.673333046,-0.177544165,-3.973504954,-8.986562518,1.03955261,-8.609766023,-16.23781706,-0.981714986
29.25,-1.804530255,-4.230556345,0.621495834,-0.987272706,-4.390517003,2.41597159,-0.135214909,-6.012069043,5.741639224,-4.028696033,-12.06512042,4.007728348
29.2,-0.732192545,-2.355668085,0.891282996,-2.625392132,-7.220444496,1.969660231,-1.325703977,-9.327209376,6.675801422,-0.03195885,-7.988520115,7.924602415
29.15,-0.965726197,-3.787578847,1.856126453,-1.57791308,-4.783796024,1.627969865,-2.490257449,-7.263450761,2.282935863,-4.824753375,-10.6525637,1.003056948
29.1,0.287156548,-1.683837963,2.258151058,-2.404018635,-6.254427394,1.446390125,-7.511991758,-12.83325955,-2.190723969,-15.43875241,-22.11915887,-8.758345947
29.05,-2.539144763,-6.45370525,1.375415724,-1.949893645,-5.587096377,1.687309087,-5.615078605,-12.06994134,0.839784129,-6.06934786,-14.92716331,2.788467595
29,-2.61103905,-6.014317733,0.792239632,-2.09163265,-5.19535831,1.012093009,-6.591809205,-12.42558557,-0.758032843,-4.155367573,-9.171753157,0.861018011
28.95,-1.573733902,-5.27438236,2.126914557,0.574955004,-2.873417136,4.023327144,0.032258196,-7.199619731,7.264136124,0.318098524,-7.968205322,8.60440237
28.9,0.759707598,-2.071654417,3.591069613,-1.462252235,-4.785748868,1.861244398,3.714547519,-1.196915433,8.62601047,2.476191768,-3.450739927,8.403123462
28.85,-1.938820775,-4.304196356,0.426554805,-8.524615385,-13.88887138,-3.160359386,-11.75068133,-18.43979356,-5.061569097,-17.18471352,-26.4910233,-7.878403748
28.8,-2.38626154,-4.714692526,-0.057830553,-6.293366359,-11.05529493,-1.531437787,-9.79420066,-18.00995346,-1.578447861,-12.94111002,-22.22882458,-3.653395447
