"Latitude","Mean","CI_lower","CI_upper"
30,NA,NA,NA
29.95,NA,NA,NA
29.9,NA,NA,NA
29.85,NA,NA,NA
29.8,NA,NA,NA
29.75,NA,NA,NA
29.7,NA,NA,NA
29.65,NA,NA,NA
29.6,NA,NA,NA
29.55,NA,NA,NA
29.5,NA,NA,NA
29.45,NA,NA,NA
29.4,NA,NA,NA
29.35,-16.6630768328905,-23.7884366690213,-9.53771699675974
29.3,-15.4144827029828,-19.5821120752593,-11.2468533307063
29.25,-11.856999954246,-16.5576582162424,-7.15634169224959
29.2,-20.4807499319315,-29.4957286962419,-11.4657711676211
29.15,-13.2883636973121,-17.9459960001748,-8.63073139444944
29.1,-16.6426315991567,-20.4944636683118,-12.7907995300017
29.05,-14.8688636239279,-19.7711243149186,-9.96660293293726
29,-12.1618518321602,-15.479247418369,-8.84445624595149
28.95,-11.69134618367,-16.3291995777633,-7.05349278957669
28.9,-13.159607784713,-18.4833279004788,-7.83588766894723
28.85,-21.2140844985318,-28.4650464515783,-13.9631225454853
28.8,-17.0469492310185,-23.6521019119154,-10.4417965501215
28.75,-10.4364406912572,-13.5045222002045,-7.36835918230984
28.7,-16.389838846821,-22.2265257698091,-10.5531519238329
28.65,-11.2406778776292,-14.0694838067008,-8.41187194855759
28.6,-13.254791845878,-17.2293352148509,-9.28024847690501
28.55,-10.6217392042441,-13.5593012260533,-7.68417718243493
28.5,-17.199111102687,-24.28917499432,-10.109047211054
28.45,-21.2921951863824,-30.7174367115139,-11.8669536612508
28.4,-16.2729998836915,-21.1192965526021,-11.4267032147808
28.35,-16.5340909181219,-20.4339540554386,-12.6342277808052
28.3,-18.1676187770707,-25.6610011322718,-10.6742364218696
28.25,-18.3239129079857,-22.9215624689318,-13.7262633470395
28.2,-15.4994546229189,-21.3506801905353,-9.64822905530256
28.15,-16.3201817003163,-23.5289416113281,-9.11142178930461
28.1,-12.8122221176271,-16.3009653657774,-9.32347886947685
28.05,-16.3760785612406,-22.0440845884411,-10.70807253404
28,-12.1064788811958,-15.1818074815954,-9.03115028079624
27.95,-24.8067122363064,-31.9299253487032,-17.6834991239097
27.9,-21.6328169653113,-28.2770375466033,-14.9885963840194
27.85,-18.1108451131994,-23.1628909944868,-13.0587992319119
27.8,-13.0202986413418,-16.1224919290564,-9.91810535362728
27.75,-13.3952113335401,-16.7268670008571,-10.0635556662232
27.7,-20.4922224292679,-26.6207196256804,-14.3637252328554
27.65,-18.019605143731,-22.6592455161371,-13.3799647713248
27.6,-23.8031430155039,-30.4051594856407,-17.2011265453671
27.55,-22.4773845398942,-29.1539379297519,-15.8008311500365
27.5,-16.8681157964511,-20.9559856643253,-12.7802459285769
27.45,-20.2741096213664,-25.5286901062408,-15.019529136492
27.4,-13.8161176674068,-16.8421226426679,-10.7901126921457
27.35,-19.3245369730931,-23.0164289794984,-15.6326449666878
27.3,-17.4953397741017,-21.2389668181973,-13.751712730006
27.25,-11.9372115630943,-14.2082215691541,-9.66620155703453
27.2,-17.8686841381224,-23.010910162883,-12.7264581133617
27.15,-18.6562364070566,-24.7069480022059,-12.6055248119073
27.1,-23.960898823785,-30.7915586942473,-17.1302389533226
27.05,-21.1135293052112,-26.4341131887175,-15.7929454217049
27,-25.2142168694591,-31.496346542415,-18.9320871965032
26.95,-22.4078788734747,-28.950727621255,-15.8650301256943
26.9,-25.1228234050467,-32.4120908783023,-17.833555931791
26.85,-21.1389334583282,-27.6901353132799,-14.5877316033766
26.8,-22.349452141009,-27.6531260106654,-17.0457782713526
26.75,-11.1103174407331,-13.9794974131487,-8.24113746831748
26.7,-20.857011520657,-26.1553622176224,-15.5586608236917
26.65,-18.6376922530158,-23.3819197973039,-13.8934647087277
26.6,-26.8242155786823,-33.1644028103896,-20.4840283469749
26.55,-24.0479545606808,-30.7510849099403,-17.3448242114213
26.5,-21.2720986545822,-26.9464341277746,-15.5977631813897
