¦¤resilience(unit:%),,,,,Recovery time(unit:month),,,,
Freq_Class,Area_Class,Mean,CI_lower,CI_upper,Freq_Class,Area_Class,Mean,CI_lower,CI_upper
1 Fire,0¡ª50 ha,-5.226915727,-5.294790205,-5.159041248,1 Fire,0¡ª50 ha,5.32541464,5.296944144,5.353885136
1 Fire,50¡ª100 ha,-6.749909186,-6.956460657,-6.543357715,1 Fire,50¡ª100 ha,5.867875857,5.773011831,5.962739882
1 Fire,100¡ª20 ha,-9.139955169,-9.49512236,-8.784787978,1 Fire,100¡ª20 ha,6.462115529,6.299793232,6.624437826
1 Fire,>200 ha,-11.07030316,-12.32693832,-9.813668003,1 Fire,>200 ha,7.570943076,6.982243392,8.159642759
2-3 Fires,0¡ª50 ha,-4.694345935,-4.7378773,-4.650814571,2-3 Fires,0¡ª50 ha,5.218309468,5.199859491,5.236759446
2-3 Fires,50¡ª100 ha,-4.696532425,-4.75965858,-4.63340627,2-3 Fires,50¡ª100 ha,5.39133894,5.363608943,5.419068937
2-3 Fires,100¡ª20 ha,-5.019264336,-5.099611177,-4.938917495,2-3 Fires,100¡ª20 ha,5.754328661,5.714861639,5.793795683
2-3 Fires,>200 ha,-6.558973129,-6.882195534,-6.235750723,2-3 Fires,>200 ha,6.569515963,6.383263143,6.755768783
4-5 Fires,0¡ª50 ha,-4.05395664,-4.130883495,-3.977029786,4-5 Fires,0¡ª50 ha,5.114877571,5.082673453,5.147081689
4-5 Fires,50¡ª100 ha,-3.348473987,-3.417268513,-3.27967946,4-5 Fires,50¡ª100 ha,5.108553244,5.079946856,5.137159633
4-5 Fires,100¡ª20 ha,-2.791785043,-2.843549732,-2.740020353,4-5 Fires,100¡ª20 ha,5.312900354,5.28873657,5.337064137
4-5 Fires,>200 ha,-2.517573465,-2.649613557,-2.385533373,4-5 Fires,>200 ha,5.677710637,5.59889061,5.756530663
¡İ6 Fires,0¡ª50 ha,-3.032713461,-3.258609747,-2.806817175,¡İ6 Fires,0¡ª50 ha,4.974407583,4.879278078,5.069537088
¡İ6 Fires,50¡ª100 ha,-2.152266807,-2.331671868,-1.972861746,¡İ6 Fires,50¡ª100 ha,4.963377567,4.887987288,5.038767846
¡İ6 Fires,100¡ª20 ha,-1.65699072,-1.740607162,-1.573374278,¡İ6 Fires,100¡ª20 ha,4.909516329,4.875921173,4.943111485
¡İ6 Fires,>200 ha,-1.307339089,-1.41727062,-1.197407559,¡İ6 Fires,>200 ha,5.004413387,4.956149909,5.052676866
