Variable,Mean_SHAP,SE_SHAP,Label
SOC,1.953917866,0.328638942,SOC
Burn_area,2.786943433,0.177618832,Burn area
Burn_freq,3.2428163,0.189755384,Burn frequency
Alb,3.428093897,0.173854366,жд Albedo
TMP,3.680985664,0.161531118,жд TMP
dNBR,3.821794325,0.158655312,dNBR
Pre_Res,3.93229187,0.157483129,Pre-fire жд kNDVI
SM,4.069104584,0.197310179,жд SM
SW,4.260493155,0.183547307,жд SW
PRE,4.709931015,0.16769325,жд PRE
dLAI,4.944704535,0.186619653,dLAI
Pop_density,5.166191827,0.202689069,Population density(footprint)
Soil_Depth,5.454065523,0.176013868,Depth to bedrock
Clay,5.88567296,0.292675324,Soil clay
VPD,6.375924521,0.361936148,жд VPD
AI,7.882509618,0.270934772,AI
ET,8.344557782,0.347091387,жд ET
AGB,9.041117973,0.474776466,AGB
Base_Res,11.01888315,0.59844812,Pre-fire AR(1)
